resume_text,job_role
"Multi-cloud engineer experienced in hybrid cloud strategies, cloud migration, cost optimization, and governance across AWS, Azure, and GCP.",Cloud Architect
Software developer with C++ and Python skills. Built embedded systems software and automation tools for manufacturing industry.,Software Engineer
"NLP researcher with experience in BERT, GPT, text classification, sentiment analysis, named entity recognition, and language model fine-tuning.",Data Scientist
"React developer with TypeScript expertise, Redux state management, REST API integration, and unit testing using Jest and React Testing Library.",Web Developer
"Quantitative analyst proficient in Python, R, and MATLAB for financial modeling, risk analysis, and algorithm development.",Data Analyst
"Cloud network engineer with expertise in SD-WAN, BGP, OSPF, MPLS, and designing global enterprise network infrastructure.",Network Engineer
Cross-platform developer using Xamarin and React Native. Delivered enterprise mobile solutions integrated with SharePoint and Office 365.,Mobile Developer
"Infrastructure automation engineer using Puppet, Chef, and Ansible for configuration management of thousands of servers in production.",DevOps Engineer
"Application security engineer experienced in DAST, SAST, secure SDLC, threat modeling, and training developers on security best practices.",Cybersecurity Analyst
"Data warehouse architect proficient in Snowflake, Redshift, BigQuery, dbt, and dimensional modeling for enterprise analytics platforms.",Database Administrator
"Platform engineer building internal developer platforms on Kubernetes with Helm, ArgoCD, and self-service infrastructure provisioning portals.",Cloud Architect
Software engineer with Go and Rust experience. Built high-performance networking tools and distributed systems components.,Software Engineer
"Computer vision engineer using OpenCV, YOLO, and PyTorch for object detection, image segmentation, and real-time video analysis.",Data Scientist
"JavaScript developer with Node.js backend experience. Built scalable REST APIs, real-time WebSocket applications, and CLI tools.",Web Developer
"Marketing analyst using Google Analytics, Mixpanel, and SQL to track funnels, user retention, and campaign ROI for SaaS products.",Data Analyst
"Telecommunications engineer with experience in 4G/5G networks, signal processing, RF planning, and network optimization tools.",Network Engineer
Game developer using Unity and C# for mobile and PC games. Published 3 games with positive reviews on Steam.,Mobile Developer
"Cloud security engineer implementing zero-trust architecture, IAM policies, security groups, and compliance automation on AWS.",DevOps Engineer
"Forensic analyst skilled in digital evidence collection, disk imaging, memory forensics, and legal chain-of-custody procedures.",Cybersecurity Analyst
"ETL developer using Informatica, Talend, and SSIS to build data integration pipelines connecting ERP and CRM systems.",Database Administrator
"FinTech cloud architect designing secure, compliant infrastructure for payment processing, fraud detection, and banking APIs.",Cloud Architect
